"Product","Category","2-Day","2-Week","2-Month"
"Mary Kay Gel Cream Blush - Simply Rosy","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Cream Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Cream Blush - Soft Buff","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Cream Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Eyeliner With Expandable Brush Applicator - Jet Black","color","Hey [Name], I wanted to check in — how are you loving the eyeliner?","Hey [Name], how are you? Just checking in on your eyeliner — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Eyeliner With Expandable Brush Applicator yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Apple Berry","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Berry Couture","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Downtown Brown","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Haute Pink","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Love Me Pink","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Luminous Lilac","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Naturally Buff","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Raspberry Ice","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Red Smolder","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Rosewood","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Scarlet Red","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Spiced Ginger","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Gel Semi-Shine Lipstick - Sunset Peach","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Shine Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Great Heights Mascara - Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Great Heights Mascara yet? Just say the word and I'll get more headed your way!"
"Mary Kay Great Heights Waterproof Mascara - Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Great Heights Waterproof Mascara yet? Just say the word and I'll get more headed your way!"
"Mary Kay Hand Cream - Berries & Rose","body","Hey [Name], I wanted to check in — how are you enjoying the Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hand Cream? Let me know when you're ready for more!"
"Mary Kay Hand Cream - Island Mist & Jasmine","body","Hey [Name], I wanted to check in — how are you enjoying the Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hand Cream? Let me know when you're ready for more!"
"Mary Kay Hand Cream - Mandarin & Rose","body","Hey [Name], I wanted to check in — how are you enjoying the Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hand Cream? Let me know when you're ready for more!"
"Mary Kay Hand Cream - Mango & Orange Flower","body","Hey [Name], I wanted to check in — how are you enjoying the Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hand Cream? Let me know when you're ready for more!"
"Mary Kay Hand Cream - Passionflower","body","Hey [Name], I wanted to check in — how are you enjoying the Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hand Cream? Let me know when you're ready for more!"
"Mary Kay Heart-Shaped Lipstick - Courageous Pink","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Heart-Shaped Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Hydrating Cleanser","skincare","Hey [Name], I wanted to check in — how are you enjoying the cleanser?","Hey [Name], how are you? Just checking in — the trick with a cleanser is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Hydrating Cleanser — want me to get another one on the way before you run out?"
"Mary Kay Hydrating Cream Mask","skincare","Hey [Name], I wanted to check in — how are you enjoying the mask?","Hey [Name], how are you? Just checking in — the trick with a mask is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Hydrating Cream Mask — want me to get another one on the way before you run out?"
"Mary Kay Hydrating Go Set - Normal/Dry","set","Hey [Name], I wanted to check in — how is your new Hydrating Go Set treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Hydrating Go Set?"
"Mary Kay Hydrating Lotion","body","Hey [Name], I wanted to check in — how are you enjoying the Hydrating Lotion?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Hydrating Lotion? Let me know when you're ready for more!"
"Mary Kay Hydrating Moisturizer","skincare","Hey [Name], I wanted to check in — how are you enjoying the moisturizer?","Hey [Name], how are you? Just checking in — the trick with a moisturizer is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Hydrating Moisturizer — want me to get another one on the way before you run out?"
"Mary Kay Hydrating Regimen - Normal/Dry","set","Hey [Name], I wanted to check in — how is your new Hydrating Regimen treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Hydrating Regimen?"
"Mary Kay Hydrogel Eye Patches","fallback","Hey [Name], I wanted to check in — how are you liking the Hydrogel Eye Patches so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Hydrogel Eye Patches? I'd love to help you restock!"
"Mary Kay If You Believe Eau de Toilette","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the If You Believe Eau de Toilette? Ready for another bottle?"
"Mary Kay Illuminea Body Soufflé","body","Hey [Name], I wanted to check in — how are you enjoying the Illuminea Body Soufflé?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Illuminea Body Soufflé? Let me know when you're ready for more!"
"Mary Kay Illuminea Extrait de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Illuminea Extrait de Parfum? Ready for another bottle?"
"Mary Kay Instant Puffiness Reducer","fallback","Hey [Name], I wanted to check in — how are you liking the Instant Puffiness Reducer so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Instant Puffiness Reducer? I'd love to help you restock!"
"Mary Kay Intense Moisturizing Cream (Dry)","fallback","Hey [Name], I wanted to check in — how are you liking the Intense Moisturizing Cream (Dry) so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Intense Moisturizing Cream (Dry)? I'd love to help you restock!"
"Mary Kay Lavender & Coconut Hand Cream","body","Hey [Name], I wanted to check in — how are you enjoying the Lavender & Coconut Hand Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Lavender & Coconut Hand Cream? Let me know when you're ready for more!"
"Mary Kay Lavender & Coconut Scented Body Lotion","body","Hey [Name], I wanted to check in — how are you enjoying the Lavender & Coconut Scented Body Lotion?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Lavender & Coconut Scented Body Lotion? Let me know when you're ready for more!"
"Mary Kay Lip Balm Set - Sweet Berry and Tropical Guava","fallback","Hey [Name], I wanted to check in — how are you liking the Lip Balm Set so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Lip Balm Set? I'd love to help you restock!"
"Mary Kay Liquid Eye Shadow - In The Trees","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Liquid Eye Shadow - Light Beam","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Liquid Eye Shadow - Meteor Shower","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Liquid Eye Shadow - Sand Dune","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Liquid Eye Shadow - Warm Desert","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Liquid Foundation Brush","color","Hey [Name], I wanted to check in — how are you loving the foundation?","Hey [Name], how are you? Just checking in on your foundation — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Liquid Foundation Brush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Makeup Finishing Spray by Skindinävia","fallback","Hey [Name], I wanted to check in — how are you liking the Makeup Finishing Spray by Skindinävia so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Makeup Finishing Spray by Skindinävia? I'd love to help you restock!"
"Mary Kay Mask Applicator","skincare","Hey [Name], I wanted to check in — how are you enjoying the mask?","Hey [Name], how are you? Just checking in — the trick with a mask is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Mask Applicator — want me to get another one on the way before you run out?"
"Mary Kay Matte Liquid Lipstick - Red Noir","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Matte Liquid Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Matte Liquid Lipstick - Rich Mahogany","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Matte Liquid Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Matte Liquid Lipstick - Soft Fawn","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Matte Liquid Lipstick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Mattifying Cleanser","skincare","Hey [Name], I wanted to check in — how are you enjoying the cleanser?","Hey [Name], how are you? Just checking in — the trick with a cleanser is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Mattifying Cleanser — want me to get another one on the way before you run out?"
"Mary Kay Mattifying Go Set - Combination/Oily","set","Hey [Name], I wanted to check in — how is your new Mattifying Go Set treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Mattifying Go Set?"
"Mary Kay Mattifying Moisturizer","skincare","Hey [Name], I wanted to check in — how are you enjoying the moisturizer?","Hey [Name], how are you? Just checking in — the trick with a moisturizer is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Mattifying Moisturizer — want me to get another one on the way before you run out?"
"Mary Kay Mattifying Regimen - Combination/Oily","set","Hey [Name], I wanted to check in — how is your new Mattifying Regimen treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Mattifying Regimen?"
"Mary Kay Men's Hair and Body Wash Gift Set","body","Hey [Name], I wanted to check in — how are you enjoying the Men's Hair and Body Wash Gift Set?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Men's Hair and Body Wash Gift Set? Let me know when you're ready for more!"
"Mary Kay Micellar Water","fallback","Hey [Name], I wanted to check in — how are you liking the Micellar Water so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Micellar Water? I'd love to help you restock!"
"Mary Kay Mineral Facial Sunscreen Broad Spectrum SPF 30","fallback","Hey [Name], I wanted to check in — how are you liking the Mineral Facial Sunscreen so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Mineral Facial Sunscreen? I'd love to help you restock!"
"Mary Kay Multi-Benefit Concealer - Deep 1","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Deep 2","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Deep 3","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Light 1","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Light 2","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Light 3","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Medium 1","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Medium 2","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Multi-Benefit Concealer - Medium 3","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Multi-Benefit Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Nail Polish - Legacy Lilac","fallback","Hey [Name], I wanted to check in — how are you liking the Nail Polish so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Nail Polish? I'd love to help you restock!"
"Mary Kay Nail Polish - Visionary Pink","fallback","Hey [Name], I wanted to check in — how are you liking the Nail Polish so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Nail Polish? I'd love to help you restock!"
"Mary Kay Nourishing Oil","fallback","Hey [Name], I wanted to check in — how are you liking the Nourishing Oil so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Nourishing Oil? I'd love to help you restock!"
"Mary Kay Oil-Free Eye Makeup Remover","fallback","Hey [Name], I wanted to check in — how are you liking the Oil-Free Eye Makeup Remover so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Oil-Free Eye Makeup Remover? I'd love to help you restock!"
"Mary Kay Oil-Free Hydrating Gel (Normal/Oily)","fallback","Hey [Name], I wanted to check in — how are you liking the Oil-Free Hydrating Gel (Normal/Oily) so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Oil-Free Hydrating Gel (Normal/Oily)? I'd love to help you restock!"
"Mary Kay Perfect Palette (unfilled)","fallback","Hey [Name], I wanted to check in — how are you liking the Perfect Palette (unfilled) so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Perfect Palette (unfilled)? I'd love to help you restock!"
"Mary Kay Perfecting Concealer - Deep Beige","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Perfecting Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Perfecting Concealer - Deep Ivory","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Perfecting Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Perfecting Concealer - Light Bronze","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Perfecting Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Perfecting Concealer - Light Ivory","color","Hey [Name], I wanted to check in — how are you loving the concealer?","Hey [Name], how are you? Just checking in on your concealer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Perfecting Concealer yet? Just say the word and I'll get more headed your way!"
"Mary Kay Petite Palette (unfilled)","fallback","Hey [Name], I wanted to check in — how are you liking the Petite Palette (unfilled) so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Petite Palette (unfilled)? I'd love to help you restock!"
"Mary Kay Precision Brow Liner - Black Brown","fallback","Hey [Name], I wanted to check in — how are you liking the Precision Brow Liner so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Precision Brow Liner? I'd love to help you restock!"
"Mary Kay Precision Brow Liner - Blonde","fallback","Hey [Name], I wanted to check in — how are you liking the Precision Brow Liner so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Precision Brow Liner? I'd love to help you restock!"
"Mary Kay Precision Brow Liner - Brunette","fallback","Hey [Name], I wanted to check in — how are you liking the Precision Brow Liner so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Precision Brow Liner? I'd love to help you restock!"
"Mary Kay Precision Brow Liner - Dark Blonde","fallback","Hey [Name], I wanted to check in — how are you liking the Precision Brow Liner so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Precision Brow Liner? I'd love to help you restock!"
"Mary Kay Precision Brow Liner - Dark Brunette","fallback","Hey [Name], I wanted to check in — how are you liking the Precision Brow Liner so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Precision Brow Liner? I'd love to help you restock!"
"Mary Kay Pro Palette (unfilled)","fallback","Hey [Name], I wanted to check in — how are you liking the Pro Palette (unfilled) so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Pro Palette (unfilled)? I'd love to help you restock!"
"Mary Kay Shimmer Eye Shadow Stick - Copper Nova","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Eye Shadow Stick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Shimmer Eye Shadow Stick - Golden Sunrise","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Eye Shadow Stick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Shimmer Eye Shadow Stick - Midnight Galaxy","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Eye Shadow Stick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Shimmer Eye Shadow Stick - Pink Prisms","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Eye Shadow Stick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Shimmer Eye Shadow Stick - Radiant Bronze","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Eye Shadow Stick yet? Just say the word and I'll get more headed your way!"
"Mary Kay Shimmer Liquid Eye Shadow - Rosé","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Shimmer Liquid Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Silky Setting Powder - Deep Beige","fallback","Hey [Name], I wanted to check in — how are you liking the Silky Setting Powder so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Silky Setting Powder? I'd love to help you restock!"
